Question,Answer A,Answer B,Answer C,Answer D,Answer E,Answer F,Answer G,Answer H,Correct Answer(s)
An administrator needs to protect user passwords and has been advised to hash the passwords. Which of the following BEST describes what the administrator is being advised to do?,Perform a mathematical operation on the passwords that will convert them into unique strings.,"Add extra data to the passwords so their length is increased, making them harder to brute force.",Store all passwords in the system in a rainbow table that has a centralized location.,Enforce the use of one-time passwords that are changed for every login session.,,,,,A
Which of the following would be indicative of a hidden audio file found inside of a piece of source code?,Steganography,Homomorphic encryption,Cipher suite,Blockchain,,,,,A
"A user enters a username and a password at the login screen for a web portal. A few seconds later the following message appears on the screen: Please use a combination of numbers, special characters, and letters in the password field.
Which of the following concepts does this message describe?",Password complexity,Password reuse,Password history,Password age,,,,,A
A company recently experienced an inside attack using a corporate machine that resulted in data compromise. Analysis indicated an unauthorized change to the software circumvented technological protection measures. The analyst was tasked with determining the best method to ensure the integrity of the systems remains intact and local and remote boot attestation can take place. Which of the following would provide the BEST solution,HIPS,FIM,TPM,DLP,,,,,C
Which of the following is a reason to publish files' hashes?,To validate the integrity of the files,To verify if the software was digitally signed,To use the hash as a software activation key,To use the hash as a decryption passphrase,,,,,A
A security manager has tasked the security operations center with locating all web servers that respond to an unsecure protocol. Which of the following commands could an analyst run to find the requested servers?,nslookup 10.10.10.0,nmap -p 80 10.10.10.0/24,pathping 10.10.10.0 -p 80,ne -l -p 80,,,,,B
Which biometric error would allow an unauthorized user to access a system?,False acceptance,False entrance,False rejection,False denia,,,,,A
A company is auditing the manner in which its European customers' personal information is handled. Which of the following should the company consult?,GDPR,ISO,NIST,PCI DSS,,,,,A
Which of the following are common VoIP-associated vulnerabilities? (Choose two.),SPIM,Vishing,Hopping,Phishing,Credential harvesting,Tailgating,,,B & C
Which of the following describes the exploitation of an interactive process to gain access to restricted areas?,Persistence,Buffer overflow,Privilege escalation,Pharming,,,,,C
An organization is planning to open other data centers to sustain operations in the event of a natural disaster. Which of the following considerations would BEST support the organization's resiliency?,Geographic dispersal,Generator power,Fire suppression,Facility automation,,,,,A
A security engineer is deploying a new wireless network for a company. The company shares office space with multiple tenants. Which of the following should the engineer configure on the wireless network to ensure that confidential data is not exposed to unauthorized users?,EAP,TLS,HTTPS,AES,,,,,D
The Chief Compliance Officer from a bank has approved a background check policy for all new hires. Which of the following is the policy MOST likely protecting against?,Preventing any current employees' siblings from working at the bank to prevent nepotism,Hiring an employee who has been convicted of theft to adhere to industry compliance,Filtering applicants who have added false information to resumes so they appear better qualified,Ensuring no new hires have worked at other banks that may be trying to steal customer information,,,,,B
"An engineer recently deployed a group of 100 web servers in a cloud environment. Per the security policy, all web-server ports except 443 should be disabled. 
Which of the following can be used to accomplish this task?",Application allow list,SWG,Host-based firewall,VPN,,,,,C
"A technician was dispatched to complete repairs on a server in a data center. While locating the server, the technician entered a restricted area without authorization. Which of the following security controls would BEST prevent this in the future?",Use appropriate signage to mark all areas.,Utilize cameras monitored by guards.,Implement access control vestibules.,Enforce escorts to monitor all visitors.,,,,,D
"Which of the following would BEST provide a systems administrator with the ability to more efficiently identify systems and manage permissions and policies based on location, role, and service level?",Standard naming conventions,Domain services,Baseline configurations,Diagrams,,,,,A
Which of the following would detect intrusions at the perimeter of an airport?,Signage,Fencing,Motion sensors,Lighting,Bollards,,,,C
A security analyst is concerned about critical vulnerabilities that have been detected on some applications running inside containers. Which of the following is the BEST remediation strategy?,Update the base container Image and redeploy the environment.,Include the containers in the regular patching schedule for servers.,Patch each running container individually and test the application.,Update the host in which the containers are running.,,,,,A
An organization has decided to purchase an insurance policy because a risk assessment determined that the cost to remediate the risk is greater than the five- year cost of the insurance policy. The organization is enabling risk:,avoidance.,acceptance.,mitigation.,transference.,,,,,D
"A security analyst receives an alert from the company's SIEM that anomalous activity is coming from a local source IP address of 192.168.34.26. The Chief Information Security Officer asks the analyst to block the originating source. Several days later, another employee opens an internal ticket stating that vulnerability scans are no longer being performed properly. The IP address the employee provides is 192.168.34.26. Which of the following describes this type of alert?",True negative,True positive,False positive,False negative,,,,,C
A security analyst wants to reference a standard to develop a risk management program. Which of the following is the BEST source for the analyst to use?,SSAE SOC 2,ISO 31000,NIST CSF,GDPR,,,,,B
The Chief Information Security Officer (CISO) requested a report on potential areas of improvement following a security incident. Which of the following incident response processes is the CISO requesting?,Lessons learned,Preparation,Detection,Containment,Root cause analysis,,,,A
A company is providing security awareness training regarding the importance of not forwarding social media messages from unverified sources. Which of the following risks would this training help to prevent?,Hoaxes,SPIMs,Identity fraud,Credential harvesting,,,,,A
"A security analyst is receiving numerous alerts reporting that the response time of an internet-facing application has been degraded. However, the internal network performance was not degraded. Which of the following MOST likely explains this behavior?",DNS poisoning,MAC flooding,DDoS attack,ARP poisoning,,,,,C
Which of the following will increase cryptographic security?,High data entropy,Algorithms that require less computing power,Longer key longevity,Hashing,,,,,A
Which of the following statements BEST describes zero-day exploits?,"When a zero-day exploit is discovered, the system cannot be protected by any means.",Zero-day exploits have their own scoring category in CVSS.,"A zero-day exploit is initially undetectable, and no patch for it exists.",Discovering zero-day exploits is always performed via bug bounty programs.,,,,,C
"A company wants to restrict emailing of PHI documents. The company is implementing a DLP solution. In order to restrict PHI documents, which of the following should be performed FIRST?",Retention,Governance,Classification,Change management,,,,,C
Which of the following describes the continuous delivery software development methodology?,Waterfall,Spiral,V-shaped,Agile,,,,,D
Which of the following is the BEST example of a cost-effective physical control to enforce a USB removable media restriction policy?,"Putting security/antitamper tape over USB ports, logging the port numbers, and regularly inspecting the ports",Implementing a GPO that will restrict access to authorized USB removable media and regularly verifying that it is enforced,"Placing systems into locked, key-controlled containers with no access to the USB ports",Installing an endpoint agent to detect connectivity of USB and removable media,,,,,A
A company suspects that some corporate accounts were compromised. The number of suspicious logins from locations not recognized by the users is increasing. Employees who travel need their accounts protected without the risk of blocking legitimate login requests that may be made over new sign-in properties. Which of the following security controls can be implemented?,Enforce MFA when an account request reaches a risk threshold.,Implement geofencing to only allow access from headquarters.,Enforce time-based login requests that align with business hours.,Shift the access control scheme to a discretionary access control,,,,,A
An organization wants to participate in threat intelligence information sharing with peer groups. Which of the following would MOST likely meet the organization's requirement?,Perform OSINT investigations.,Subscribe to threat intelligence feeds.,Submit RFCs.,Implement a TAXII server,,,,,D
Which of the following is the MOST effective control against zero-day vulnerabilities?,Network segmentation,Patch management,Intrusion prevention system,Multiple vulnerability scanners,,,,,A
"Which of the following is the GREATEST security concern when outsourcing code development to third-party contractors for an internet-facing 
application?",Intellectual property theft,Elevated privileges,Unknown backdoor,Quality assurance,,,,,C
An organization has hired a red team to simulate attacks on its security posture. Which of the following will the blue team do after detecting an IoC?,Reimage the impacted workstations.,Activate runbooks for incident response.,Conduct forensics on the compromised system.,Conduct passive reconnaissance to gather information.,,,,,B
"An amusement park is implementing a biometric system that validates customers' fingerprints to ensure they are not sharing tickets. The park's owner values customers above all and would prefer customers' convenience over security. For this reason, which of the following features should the security team prioritize FIRST?",Low FAR,Low efficacy,Low FRR,Low CER,,,,,C
Which of the following organizations sets frameworks and controls for optimal security configuration on systems?,ISO,GDPR,PCI DSS,NIST,,,,,D
"An organization discovered files with proprietary financial data have been deleted. The files have been recovered from backup, but every time the Chief Financial Officer logs in to the file server, the same files are deleted again. No other users are experiencing this issue. Which of the following types of malware is MOST likely causing this behavior?",Logic bomb,Cryptomalware,Spyware,Remote access Trojan,,,,,A
A security analyst has identified malware spreading through the corporate network and has activated the CSIRT. Which of the following should the analyst do NEXT?,Review how the malware was introduced to the network.,Attempt to quarantine all infected hosts to limit further spread.,Create help desk tickets to get infected systems reimaged.,Update all endpoint antivirus solutions with the latest updates.,,,,,B
"During an incident response, an analyst applied rules to all inbound traffic on the border firewall and implemented ACLs on each critical server. Following an investigation, the company realizes it is still vulnerable because outbound traffic is not restricted, and the adversary is able to maintain a presence in the network. 
In which of the following stages of the Cyber Kill Chain is the adversary currently operating?",Reconnaissance,Command and control,Actions on objective,Exploitation,,,,,B
A recent security breach exploited software vulnerabilities in the firewall and within the network management solution. Which of the following will MOST likely be used to identify when the breach occurred through each device?,SIEM correlation dashboards,Firewall syslog event logs,Network management solution login audit logs,Bandwidth monitors and interface sensors,,,,,A
"Which of the following is the FIRST environment in which proper, secure coding should be practiced?",Stage,Development,Production,Test,,,,,B
A cloud service provider has created an environment where customers can connect existing local networks to the cloud for additional computing resources and block internal HR applications from reaching the cloud. Which of the following cloud models is being used?,Public,Community,Hybrid,Private,,,,,C
An organization has developed an application that needs a patch to fix a critical vulnerability. In which of the following environments should the patch be deployed LAST?,Test,Staging,Development,Production,,,,,D
An organization is building backup server rooms in geographically diverse locations. The Chief Information Security Officer implemented a requirement on the project that states the new hardware cannot be susceptible to the same vulnerabilities in the existing server room. Which of the following should the systems engineer consider?,Purchasing hardware from different vendors,Migrating workloads to public cloud infrastructure,Implementing a robust patch management solution,Designing new detective security controls,,,,,A
A security analyst is working on a project to implement a solution that monitors network communications and provides alerts when abnormal behavior is detected Which of the following is the security analyst MOST likely implementing?,Vulnerability scans,User behavior analysis,"Security orchestration, automation, and response",Threat hunting,,,,,B
"Data exfiltration analysis indicates that an attacker managed to download system configuration notes from a web server. The web-server logs have been deleted, but analysts have determined that the system configuration notes were stored in the database administrator's folder on the web server. Which of the following attacks explains what occurred? (Choose two.)",Pass-the-hash,Directory traversal,SQL injection,Privilege escalation,Cross-site scripting,Request forgery,,,B & D
"A junior security analyst is conducting an analysis after passwords were changed on multiple accounts without users' interaction. The SIEM have multiple login entries with the following text: suspicious event - user: scheduledtasks successfully authenticate on AD on abnormal time suspicious event - user: scheduledtasks failed to execute c:\weekly_checkups\amazing-3rdparty-domain-assessment.py suspicious event - user: scheduledtasks failed to execute c:\weekly_checkups\secureyourAD-3rdparty-compliance.sh suspicious event - user: scheduledtasks successfully executed c:\weekly_checkups\amazing-3rdparty-domain-assessment.py 
Which of the following is the MOST likely attack conducted on the environment?",Malicious script,Privilege escalation,Domain hijacking,DNS poisoning,,,,,A
A customer service representative reported an unusual text message that was sent to the help desk. The message contained an unrecognized invoice number with a large balance due and a link to click for more details. Which of the following BEST describes this technique?,Vishing,Whaling,Phishing,Smishing,,,,,D
Which of the following actions would be recommended to improve an incident response process?,Train the team to identify the difference between events and incidents.,Modify access so the IT team has full access to the compromised assets.,Contact the authorities if a cybercrime is suspected.,Restrict communication surrounding the response to the IT team.,,,,,A
A cybersecurity administrator needs to implement a Layer 7 security control on a network and block potential attacks. Which of the following can block an attack at Layer 7? (Choose two.),HIDS,NIPS,HSM,WAF,NAC,NIDS,,,B & D
A business operations manager is concerned that a PC that is critical to business operations will have a costly hardware failure soon. The manager is looking for options to continue business operations without incurring large costs. Which of the following would mitigate the manager's concerns?,Implement a full system upgrade.,Perform a physical-to-virtual migration.,Install uninterruptible power supplies.,Purchase cybersecurity insurance.,,,,,B
An organization has activated an incident response plan due to a malware outbreak on its network. The organization has brought in a forensics team that has identified an internet-facing Windows server as the likely point of initial compromise. The malware family that was detected is known to be distributed by manually logging on to servers and running the malicious code. Which of the following actions would be BEST to prevent reinfection from the infection vector?,Prevent connections over TFTP from the internal network.,Create a firewall rule that blocks a 22 from the internet to the server.,Disable file sharing over port 445 to the server.,Block port 3389 inbound from untrusted networks,,,,,D
Which of the following uses SAML for authentication?,TOTP,Federation,Kerberos,HOTP,,,,,B
The SOC for a large MSSP is meeting to discuss the lessons learned from a recent incident that took much too long to resolve. This type of incident has become more common in recent weeks and is consuming large amounts of the analysts' time due to manual tasks being performed. Which of the following solutions should the SOC consider to BEST improve its response time?,Configure a NIDS appliance using a Switched Port Analyzer.,Collect OSINT and catalog the artifacts in a central repository.,Implement a SOAR with customizable playbooks.,Install a SIEM with community-driven threat intelligence.,,,,,C
"Business partners are working on a security mechanism to validate transactions securely. The requirement is for one company to be responsible for deploying a trusted solution that will register and issue artifacts used to sign, encrypt, and decrypt transaction files. Which of the following is the BEST solution to adopt?",PKI,Blockchain,SAML,OAuth,,,,,A
"A security analyst has been asked by the Chief Information Security Officer to:
✑ develop a secure method of providing centralized management of infrastructure
✑ reduce the need to constantly replace aging end user machines
✑ provide a consistent user desktop experience
Which of the following BEST meets these requirements?",BYOD,Mobile device management,VDI,Containerization,,,,,C
Which of the following terms describes a broad range of information that is sensitive to a specific organization?,Public,Top secret,Proprietary,Open-source,,,,,C
A Chief Security Officer (CSO) is concerned that cloud-based services are not adequately protected from advanced threats and malware. The CSO believes there is a high risk that a data breach could occur in the near future due to the lack of detective and preventive controls. Which of the following should be implemented to BEST address the CSO's concerns? (Choose two.),A WAF,A CASB,An NG-SWG,Segmentation,Encryption,Containerization,,,"B & C, D is also ok"
An organization is planning to roll out a new mobile device policy and issue each employee a new laptop. These laptops would access the users corporate operating system remotely and allow them to use the laptops for purposes outside of their job roles. Which of the following deployment models is being utilized?,MDM and application management,BYOD and containers,COPE and VDI,CYOD and VMs,,,,,C
"Certain users are reporting their accounts are being used to send unauthorized emails and conduct suspicious activities. After further investigation, a security analyst notices the following:
✑ All users share workstations throughout the day.
✑ Endpoint protection was disabled on several workstations throughout the network.
✑ Travel times on logins from the affected users are impossible.
✑ Sensitive data is being uploaded to external sites.
All user account passwords were forced to be reset and the issue continued. 
Which of the following attacks is being used to compromise the user accounts?",Brute-force,Keylogger,Dictionary,Rainbow,,,,,B
"A security forensics analyst is examining a virtual server. The analyst wants to preserve the present state of the virtual server, including memory contents. Which of the following backup types should be used?",Snapshot,Differential,Cloud,Full,Incremental,,,,A
"After returning from a conference, a user's laptop has been operating slower than normal and overheating, and the fans have been running constantly. During the diagnosis process, an unknown piece of hardware is found connected to the laptop's motherboard. Which of the following attack vectors was exploited to install the hardware?",Removable media,Spear phishing,Supply chain,Direct access,,,,,D
"After a recent security breach, a security analyst reports that several administrative usernames and passwords are being sent via cleartext across the network to access network devices over port 23. Which of the following should be implemented so all credentials sent over the network are encrypted when remotely accessing and configuring network devices?",SSH,SNMPv3,SFTP,Telnet,FTP,,,,A
Which of the following provides a calculated value for known vulnerabilities so organizations can prioritize mitigation steps?,CVSS,SIEM,SOAR,CVE,,,,,A
Several universities are participating in a collaborative research project and need to share compute and storage resources. Which of the following cloud deployment strategies would BEST meet this need?,Community,Private,Public,Hybrid,,,,,A
A forensic analyst needs to prove that data has not been tampered with since it was collected. Which of the following methods will the analyst MOST likely use?,Look for tampering on the evidence collection bag.,Encrypt the collected data using asymmetric encryption.,Ensure proper procedures for chain of custody are being followed.,Calculate the checksum using a hashing algorithm.,,,,,D
"Multiple business accounts were compromised a few days after a public website had its credentials database leaked on the Internet. No business emails were identified in the breach, but the security team thinks that the list of passwords exposed was later used to compromise business accounts. Which of the following would mitigate the issue?",Complexity requirements,Password history,Acceptable use policy,Shared accounts,,,,,A
A security analyst wants to fingerprint a web server. Which of the following tools will the security analyst MOST likely use to accomplish this task?,nmap -pl-65535 192.168.0.10,dig 192.168.0.10,curl --head http://192.168.0.10,ping 192.168.0.10,,,,,C
"A penetration tester was able to compromise an internal server and is now trying to pivot the current session in a network lateral movement. Which of the following tools, if available on the server, will provide the MOST useful information for the next assessment step?",Autopsy,Cuckoo,Memdump,Nmap,,,,,D
"Field workers in an organization are issued mobile phones on a daily basis. All the work is performed within one city, and the mobile phones are not used for any purpose other than work. The organization does not want these phones used for personal purposes. The organization would like to issue the phones to workers as permanent devices so the phones do not need to be reissued every day. Given the conditions described, which of the following technologies would BEST meet these requirements?",Geofencing,Mobile device management,Containerization,Remote wiping,,,,,B
Which of the following control types is focused primarily on reducing risk before an incident occurs?,Preventive,Deterrent,Corrective,Detective,,,,,A
"A systems administrator reports degraded performance on a virtual server. The administrator increases the virtual memory allocation, which improves conditions, but performance degrades again after a few days. The administrator runs an analysis tool and sees the following output:
==3214== timeAttend.exe analyzed
==3214== ERROR SUMMARY:
==3214== malloc/free: in use at exit: 4608 bytes in 18 blocks.
==3214== checked 82116 bytes
==3214== definitely lost: 4608 bytes in 18 blocks
The administrator terminates the timeAttend.exe, observes system performance over the next few days, and notices that the system performance does not degrade. Which of the following issues is MOST likely occurring?",DLL injection,API attack,Buffer overflow,Memory leak,,,,,D
"An administrator is experiencing issues when trying to upload a support file to a vendor. A pop-up message reveals that a payment card number was found in the file, and the file upload was blocked. Which of the following controls is most likely causing this issue and should be checked FIRST?",DLP,Firewall rule,Content filter,MDM,Application allow list,,,,A
Which of the following risk management strategies would an organization use to maintain a legacy system with known risks for operational purposes?,Acceptance,Transference,Avoidance,Mitigation,,,,,A
Which of the following is the BEST action to foster a consistent and auditable incident response process?,Incent new hires to constantly update the document with external knowledge.,Publish the document in a central repository that is easily accessible to the organization.,Restrict eligibility to comment on the process to subject matter experts of each IT silo.,Rotate CIRT members to foster a shared responsibility model in the organization.,,,,,B
"During a recent penetration test, the tester discovers large amounts of data were exfiltrated over the course of 12 months via the internet. The penetration tester stops the test to inform the client of the findings. Which of the following should be the client's NEXT step to mitigate the issue?",Conduct a full vulnerability scan to identify possible vulnerabilities.,Perform containment on the critical servers and resources.,Review the firewall and identify the source of the active connection.,Disconnect the entire infrastructure from the internet,,,,,B
A security analyst is designing the appropriate controls to limit unauthorized access to a physical site. The analyst has a directive to utilize the lowest possible budget. Which of the following would BEST meet the requirements?,Preventive controls,Compensating controls,Deterrent controls,Detective controls,,,,,C
A company is looking to migrate some servers to the cloud to minimize its technology footprint. The company has 100 databases that are on premises. Which of the following solutions will require the LEAST management and support from the company?,SaaS,IaaS,PaaS,SDN,,,,,C
Which of the following employee roles is responsible for protecting an organization's collected personal information?,CTO,DPO,CEO,DBA,,,,,B
"Against the recommendation of the IT security analyst, a company set all user passwords on a server as `P@55w0rD`. Upon review of the /etc/passwd file, an attacker found the following: alice:a8df3b6c4fd75f0617431fd248f35191df8d237f
bob:2d250c5b2976b03d757f324ebd59340df96aa05e chris:ea981ec3285421d014108089f3f3f997ce0f4150
Which of the following BEST explains why the encrypted passwords do not match?",Perfect forward secrecy,Key stretching,Salting,Hashing,,,,,C
"After gaining access to a dual-homed (i.e., wired and wireless) multifunction device by exploiting a vulnerability in the device's firmware, a penetration tester then gains shell access on another networked asset. This technique is an example of:",privilege escalation.,footprinting.,persistence.,pivoting.,,,,,D
Which of the following should be monitored by threat intelligence researchers who search for leaked credentials?,Common Weakness Enumeration,OSINT,Dark web,Vulnerability databases,,,,,C
A security analyst needs to be able to search and correlate logs from multiple sources in a single tool. Which of the following would BEST allow a security analyst to have this ability?,SOAR,SIEM,Log collectors,Network-attached storage,,,,,B
Which of the following components can be used to consolidate and forward inbound internet traffic to multiple cloud environments though a single firewall?,Transit gateway,Cloud hot site,Edge computing,DNS sinkhole,,,,,A
A DBA reports that several production server hard drives were wiped over the weekend. The DBA also reports that several Linux servers were unavailable due to system files being deleted unexpectedly. A security analyst verified that software was configured to delete data deliberately from those servers. No backdoors to any servers were found. Which of the following attacks was MOST likely used to cause the data loss?,Logic bomb,Ransomware,Fileless virus,Remote access Trojans,Rootkit,,,,A
Digital signatures use asymmetric encryption. This means the message is encrypted with:,the sender's private key and decrypted with the sender's public key.,the sender's public key and decrypted with the sender's private key.,the sender's private key and decrypted with the recipient's public key.,the sender's public key and decrypted with the recipient's private key,,,,,A
A security engineer was assigned to implement a solution to prevent attackers from gaining access by pretending to be authorized users. Which of the following technologies meets the requirement?,SSO,IDS,MFA,TPM,,,,,C
The Chief Information Security Officer (CISO) has requested that a third-party vendor provide supporting documents that show proper controls are in place to protect customer data. Which of the following would be BEST for the third-party vendor to provide to the CISO?,GDPR compliance attestation,Cloud Security Alliance materials,SOC 2 Type 2 report,NIST RMF workbooks,,,,,C
Which of the following is assured when a user signs an email using a private key?,Non-repudiation,Confidentiality,Availability,Authentication,,,,,A
A systems administrator is troubleshooting a server's connection to an internal web server. The administrator needs to determine the correct ports to use. Which of the following tools BEST shows which ports on the web server are in a listening state?,ipconfig,ssh,ping,netstat,,,,,D
Which of the following BEST reduces the security risks introduced when running systems that have expired vendor support and lack an immediate replacement?,Implement proper network access restrictions.,Initiate a bug bounty program.,Classify the system as shadow IT.,Increase the frequency of vulnerability scans.,,,,,A
"Due to unexpected circumstances, an IT company must vacate its main office, forcing all operations to alternate, off-site locations. Which of the following will the company MOST likely reference for guidance during this change?",The business continuity plan,The retention policy,The disaster recovery plan,The incident response plan,,,,,A
"While reviewing an alert that shows a malicious request on one web application, a cybersecurity analyst is alerted to a subsequent token reuse moments later on a different service using the same single sign-on method. Which of the following would BEST detect a malicious actor?",Utilizing SIEM correlation engines,Deploying Netflow at the network border,Disabling session tokens for all sites,Deploying a WAF for the web server,,,,,A
Two organizations plan to collaborate on the evaluation of new SIEM solutions for their respective companies. A combined effort from both organizations' SOC teams would speed up the effort. Which of the following can be written to document this agreement?,MOU,ISA,SLA,NDA,,,,,A
The Chief Information Security Officer wants to prevent exfiltration of sensitive information from employee cell phones when using public USB power charging stations. Which of the following would be the BEST solution to implement?,DLP,USB data blocker,USB OTG,Disabling USB ports,,,,,B
The board of directors at a company contracted with an insurance firm to limit the organization's liability. Which of the following risk management practices does this BEST describe?,Transference,Avoidance,Mitigation,Acknowledgement,,,,,A
Which of the following is a risk that is specifically associated with hosting applications in the public cloud?,Unsecured root accounts,Zero-day,Shared tenancy,Insider threat,,,,,C
DDoS attacks are causing an overload on the cluster of cloud servers. A security architect is researching alternatives to make the cloud environment respond to load fluctuation in a cost-effective way. Which of the following options BEST fulfills the architect's requirements?,An orchestration solution that can adjust scalability of cloud assets,Use of multipath by adding more connections to cloud storage,Cloud assets replicated on geographically distributed regions,An on-site backup that is displayed and only used when the load increases,,,,,A
"Which of the following documents provides expectations at a technical level for quality, availability, and responsibilities?",EOL,SLA,MOU,EOSL,,,,,B
Which of the following is an example of transference of risk?,Purchasing insurance,Patching vulnerable servers,Retiring outdated applications,Application owner risk sign-off,,,,,A
An employee received a word processing file that was delivered as an email attachment. The subject line and email content enticed the employee to open the attachment. Which of the following attack vectors BEST matches this malware?,Embedded Python code,Macro-enabled file,Bash scripting,Credential-harvesting website,,,,,B
"A security proposal was set up to track requests for remote access by creating a baseline of the users' common sign-in properties. When a baseline deviation is detected, an MFA challenge will be triggered. Which of the following should be configured in order to deploy the proposal?",Context-aware authentication,Simultaneous authentication of equals,Extensive authentication protocol,Agentless network access control,,,,,A
Which of the following secure coding techniques makes compromised code more difficult for hackers to use?,Obfuscation,Normalization,Execution,Reuse,,,,,A
"As part of a security compliance assessment, an auditor performs automated vulnerability scans. In addition, which of the following should the auditor do to complete the assessment?",User behavior analysis,Packet captures,Configuration reviews,Log analysis,,,,,C
A database administrator wants to grant access to an application that will be reading and writing data to a database. The database is shared by other applications also used by the finance department. Which of the following account types is MOST appropriate for this purpose?,Service,Shared,Generic,Admin,,,,,A
A security analyst generated a file named host1.pcap and shared it with a team member who is going to use it for further incident analysis. Which of the following tools will the other team member MOST likely use to open this file?,Autopsy,Memdump,FTK imager,Wireshark,,,,,D
An application developer accidentally uploaded a company's code-signing certificate private key to a public web server. The company is concerned about malicious use of its certificate. Which of the following should the company do FIRST?,Delete the private key from the repository.,Verify the public key is not exposed as well.,Update the DLP solution to check for private keys.,Revoke the code-signing certificate.,,,,,D
An organization implemented a process that compares the settings currently configured on systems against secure configuration guidelines in order to identify any gaps. Which of the following control types has the organization implemented?,Compensating,Corrective,Preventive,Detective,,,,,D
The Chief Information Security Officer directed a risk reduction in shadow IT and created a policy requiring all unsanctioned high-risk SaaS applications to be blocked from user access. Which of the following is the BEST security solution to reduce this risk?,CASB,VPN concentrator,MFA,VPC endpoint,,,,,A
A technician enables full disk encryption on a laptop that will be taken on a business trip. Which of the following does this process BEST protect?,Data in transit,Data in processing,Data at rest,Data tokenization,,,,,C
A security analyst was called to investigate a file received directly from a hardware manufacturer. The analyst is trying to determine whether the file was modified in transit before installation on the user's computer. Which of the following can be used to safely assess the file?,Check the hash of the installation file.,Match the file names.,Verify the URL download location.,Verify the code signing certificate.,,,,,A
A help desk technician receives a phone call from someone claiming to be a part of the organization's cybersecurity incident response team. The caller asks the technician to verify the network's internal firewall IP Address. Which of the following is the technician's BEST course of action?,Direct the caller to stop by the help desk in person and hang up declining any further requests from the caller.,"Ask for the caller's name, verify the person's identity in the email directory, and provide the requested information over the phone.","Write down the phone number of the caller if possible, the name of the person requesting the information, hang up, and notify the organization's cybersecurity officer.",Request the caller send an email for identity verification and provide the requested information via email to the caller.,,,,,C
Which of the following would BEST provide detective and corrective controls for thermal regulation?,A smoke detector,A fire alarm,An HVAC system,A fire suppression system,Guards,,,,C
